Year,Fatalities,Resident Population (Thousands),Licensed Drivers (Thousands),Registered Motor Vehicles (Thousands),Vehicle Miles Traveled (Billions),Annual Unemplyment Rate (%)
1966,50894,196560,100998,95703,926,3.8
1967,50724,198712,103172,98859,964,3.8
1968,52725,200706,105410,102987,1016,3.6
1969,53543,202677,108306,107412,1062,3.5
1970,52627,205052,111543,111242,1110,4.9
1971,52542,207661,114426,116330,1179,5.9
1972,54589,209896,118414,122557,1260,5.6
1973,54052,211909,121546,130025,1313,4.9
1974,45196,213854,125427,134900,1281,5.6
1975,44525,215973,129791,126153,1328,8.5
1976,45523,218035,134036,130793,1402,7.7
1977,47878,220239,138121,134514,1467,7.1
1978,50331,222585,140844,140374,1545,6.1
1979,51093,225055,143284,144317,1529,5.8
1980,51091,227225,145295,146845,1527,7.1
1981,49301,229466,147075,149330,1555,7.6
1982,43945,231664,150234,151148,1595,9.7
1983,42589,233792,154389,153830,1653,9.6
1984,44257,235825,155424,158900,1720,7.5
1985,43825,237924,156868,166047,1775,7.2
1986,46087,240133,159486,168545,1835,7
1987,46390,242289,161816,172750,1921,6.2
1988,47087,244499,162854,177455,2026,5.5
1989,45582,246819,165554,181165,2096,5.3
1990,44599,249464,167015,184275,2144,5.6
1991,41508,252153,168995,186370,2172,6.8
1992,39250,255030,173125,184938,2247,7.5
1993,40150,257783,173149,188350,2296,6.9
1994,40716,260327,175403,192497,2358,6.1
1995,41817,262803,176628,197065,2423,5.6
1996,42065,265229,179539,201631,2484,5.4
1997,42013,267784,182709,203568,2552,4.9
1998,41501,270248,184861,208076,2628,4.5
1999,41717,272691,187170,212685,2690,4.2
2000,41945,282162,190625,217028,2747,4
2001,42196,284969,191276,221230,2796,4.7
2002,43005,287625,194602,225685,2856,5.8
2003,42884,290108,196166,230633,2890,6
2004,42836,292805,198889,237949,2965,5.5
2005,43510,295517,200549,245628,2989,5.1
2006,42708,298380,202810,251415,3014,4.6
2007,41259,301231,205742,257472,3031,4.6
2008,37423,304094,208321,259360,2977,5.8
2009,33883,306772,209618,258958,2957,9.3
2010,32999,309326,210115,257312,2967,9.6
2011,32479,311588,211875,265043,2950,8.9
2012,33561,313914,211815,265647,2969,8.1
